activation,alpha,drift_target,drift_z,hidden,mlp_excess_harm,mlp_test_r2,phase,ridge_test_r2,seed
relu,0.1,dominant,10.0,"(32, 16)",3.178195882960432,-2.190765883386951,1,0.9874299995734811,8
relu,0.1,dominant,10.0,"(32, 16)",6.643033796069749,-5.653127434452003,1,0.989906361617746,9
relu,0.1,dominant,10.0,"(32, 16)",0.9042703128968319,0.08780064949697419,1,0.9920709623938061,10
relu,0.1,dominant,10.0,"(32, 16)",4.216728673178481,-3.2259598428081677,1,0.9907688303703134,11
relu,0.1,dominant,10.0,"(32, 16)",0.33555343882078426,0.6546428698183724,1,0.9901963086391566,12
relu,0.1,dominant,10.0,"(32, 16)",2.0717806783028645,-1.0819450520846705,1,0.989835626218194,13
relu,0.1,dominant,10.0,"(32, 16)",3.7168846361515273,-2.7279792865268138,1,0.9889053496247137,14
relu,0.1,dominant,10.0,"(32, 16)",3.4797523576403715,-2.491310689986218,1,0.9884416676541538,15
relu,0.1,dominant,10.0,"(32, 16)",1.1751219966386817,-0.18502878637912712,1,0.9900932102595545,16
relu,0.1,dominant,10.0,"(32, 16)",0.575400624539403,0.41498021774686444,1,0.9903808422862674,17
relu,0.1,dominant,10.0,"(32, 16)",2.0880332808721516,-1.097121785438497,1,0.9909114954336549,18
relu,0.1,dominant,10.0,"(32, 16)",2.9207694041039676,-1.9309223948386869,1,0.9898470092652806,19
tanh,0.1,dominant,10.0,"(32, 16)",61.090626124227626,-60.09803553598893,1,0.9925905882386962,0
tanh,0.1,dominant,10.0,"(32, 16)",66.4961682895905,-65.50622115649247,1,0.9899471330980285,1
tanh,0.1,dominant,10.0,"(32, 16)",71.49684625367169,-70.50768709888978,1,0.9891591547819205,2
tanh,0.1,dominant,10.0,"(32, 16)",62.94681533003817,-61.95672812552103,1,0.9900872045171358,3
tanh,0.1,dominant,10.0,"(32, 16)",69.30078681533286,-68.3123059783327,1,0.9884808370001483,4
tanh,0.1,dominant,10.0,"(32, 16)",70.62844327517433,-69.6405233358654,1,0.9879199393089387,5
tanh,0.1,dominant,10.0,"(32, 16)",62.04319563623454,-61.05312793108306,1,0.9900677051514837,6
tanh,0.1,dominant,10.0,"(32, 16)",64.32273504776072,-63.33335831161894,1,0.9893767361417805,7
tanh,0.1,dominant,10.0,"(32, 16)",75.64382028691868,-74.65496313620243,1,0.9888571507162631,8
tanh,0.1,dominant,10.0,"(32, 16)",65.98765458555152,-64.99766962616073,1,0.9899849593907891,9
tanh,0.1,dominant,10.0,"(32, 16)",66.84601257741637,-65.85624219041,1,0.9897703870063689,10
tanh,0.1,dominant,10.0,"(32, 16)",62.833867669386485,-61.844080820923644,1,0.9897868484628384,11
tanh,0.1,dominant,10.0,"(32, 16)",65.14198738809235,-64.15074195344631,1,0.9912454346460379,12
tanh,0.1,dominant,10.0,"(32, 16)",76.4179177392894,-75.4291587831506,1,0.9887589561387915,13
tanh,0.1,dominant,10.0,"(32, 16)",66.62768211568219,-65.63750715232764,1,0.9901749633545518,14
tanh,0.1,dominant,10.0,"(32, 16)",61.7720818224292,-60.78212547183309,1,0.9899563505961115,15
tanh,0.1,dominant,10.0,"(32, 16)",68.45805563615804,-67.46827625612889,1,0.9897793800291491,16
tanh,0.1,dominant,10.0,"(32, 16)",65.09138766558145,-64.10054150745174,1,0.9908461581297067,17
tanh,0.1,dominant,10.0,"(32, 16)",61.7168268493859,-60.72613170279724,1,0.990695146588667,18
tanh,0.1,dominant,10.0,"(32, 16)",60.2633827544853,-59.27298564755638,1,0.9903971069289161,19
identity,0.1,dominant,10.0,"(32, 16)",0.005698413184787032,0.9825600361317262,1,0.9882584493165132,0
identity,0.1,dominant,10.0,"(32, 16)",3.1070605887473235e-05,0.9895999529876801,1,0.9896310235935676,1
identity,0.1,dominant,10.0,"(32, 16)",0.0005667537867264372,0.987367843892286,1,0.9879345976790125,2
identity,0.1,dominant,10.0,"(32, 16)",-0.0007287928322992077,0.9896486773747069,1,0.9889198845424076,3
identity,0.1,dominant,10.0,"(32, 16)",-0.0005633331091707827,0.9889283689262877,1,0.9883650358171169,4
identity,0.1,dominant,10.0,"(32, 16)",7.052145029506907e-05,0.989536305636162,1,0.9896068270864571,5
identity,0.1,dominant,10.0,"(32, 16)",-0.00032985477694358334,0.9898227350258427,1,0.9894928802488991,6
identity,0.1,dominant,10.0,"(32, 16)",0.005921203275938813,0.983740888626658,1,0.9896620919025968,7
identity,0.1,dominant,10.0,"(32, 16)",-0.00017368759628078045,0.9903169704087432,1,0.9901432828124624,8
identity,0.1,dominant,10.0,"(32, 16)",-0.0003879711873463476,0.9898253740600044,1,0.989437402872658,9
identity,0.1,dominant,10.0,"(32, 16)",-0.00013312338097692944,0.9885082649796088,1,0.9883751415986318,10
identity,0.1,dominant,10.0,"(32, 16)",0.0021286407948643005,0.9887059895610487,1,0.990834630355913,11
identity,0.1,dominant,10.0,"(32, 16)",-0.0008602649929417838,0.9900449629782101,1,0.9891846979852683,12
identity,0.1,dominant,10.0,"(32, 16)",-0.00024373603574578961,0.989214676000055,1,0.9889709399643092,13
identity,0.1,dominant,10.0,"(32, 16)",3.026705069386626e-05,0.9892830784748288,1,0.9893133455255226,14
identity,0.1,dominant,10.0,"(32, 16)",-0.0005461869318562629,0.9900627771896185,1,0.9895165902577623,15
identity,0.1,dominant,10.0,"(32, 16)",0.002222136456709989,0.9870110974378834,1,0.9892332338945934,16
identity,0.1,dominant,10.0,"(32, 16)",-0.00020673335668985882,0.9917068136868055,1,0.9915000803301156,17
identity,0.1,dominant,10.0,"(32, 16)",-3.5056151452828033e-06,0.9899712631358643,1,0.989967757520719,18
identity,0.1,dominant,10.0,"(32, 16)",-0.00012891273321946617,0.9874570969508462,1,0.9873281842176267,19
relu,0.1,dominant,10.0,"(16,)",14.02103854739681,-13.030671884490227,1,0.9903666629065837,0
relu,0.1,dominant,10.0,"(16,)",10.40630347279596,-9.416440871236238,1,0.989862601559722,1
relu,0.1,dominant,10.0,"(16,)",7.476198205888701,-6.484936526819506,1,0.991261679069195,2
relu,0.1,dominant,10.0,"(16,)",11.826815905590792,-10.83609783799691,1,0.9907180675938809,3
relu,0.1,dominant,10.0,"(16,)",7.857261263085933,-6.868516903189196,1,0.9887443598967366,4
relu,0.1,dominant,10.0,"(16,)",10.21080865527781,-9.223579111133374,1,0.9872295441444369,5
relu,0.1,dominant,10.0,"(16,)",9.824194553129534,-8.834165531529326,1,0.9900290216002068,6
relu,0.1,dominant,10.0,"(16,)",10.233114153190392,-9.243246716942263,1,0.9898674362481292,7
relu,0.1,dominant,10.0,"(16,)",6.945781346345906,-5.95613600051413,1,0.9896453458317762,8
relu,0.1,dominant,10.0,"(16,)",9.902924601909923,-8.912707183849507,1,0.9902174180604154,9
relu,0.1,dominant,10.0,"(16,)",10.478886213498104,-9.490093803500201,1,0.9887924099979025,10
relu,0.1,dominant,10.0,"(16,)",7.7293922731610785,-6.74016332421642,1,0.9892289489446587,11
relu,0.1,dominant,10.0,"(16,)",9.08384801250194,-8.094236277267221,1,0.9896117352347191,12
