dgp,drift_z,logreg_logloss,mlp_excess_logloss,mlp_logloss,n_test_class1,n_train_class1,seed,trial,weighted_drift_score
interaction_binary,5.0,0.6605583465549358,-0.2600647697676242,0.4004935767873116,304,999,1,0,3.6792656780110673
interaction_binary,5.0,0.6539515120486026,-0.27995576344954914,0.37399574859905343,324,969,1,1,3.5388211710728643
interaction_binary,5.0,0.7199259058822022,-0.3170134839435092,0.402912421938693,315,963,1,2,3.471529635673923
interaction_binary,7.0,0.6999792736246843,-0.31639529869160404,0.3835839749330802,303,999,1,0,5.134513877060964
interaction_binary,7.0,0.6929798144186239,-0.3329659238156884,0.3600138906029355,327,969,1,1,4.9680670056735075
interaction_binary,7.0,0.8328009677498566,-0.3768536850028944,0.45594728274696217,318,963,1,2,4.848808625002038
interaction_binary,10.0,0.8064420462182906,-0.4367126101723615,0.3697294360459291,298,999,1,0,7.317386175635791
interaction_binary,10.0,0.7926189684492931,-0.42376827133337014,0.368850697115923,331,969,1,1,7.11193575757448
interaction_binary,10.0,1.0933981068782137,-0.4193509449869801,0.6740471618912336,315,963,1,2,6.914727108994199
interaction_binary,15.0,1.0290659684763328,-0.6589470412946066,0.37011892718172623,299,999,1,0,10.95550667326052
interaction_binary,15.0,1.0460875894478017,-0.6089688626211854,0.43711872682661623,333,969,1,1,10.685050344076107
interaction_binary,15.0,1.5930538582869684,-0.41914575366953377,1.1739081046174347,315,963,1,2,10.357924582314489
interaction_binary,20.0,1.3130095690198693,-0.9234736782070356,0.38953589081283374,298,999,1,0,14.593627170885249
interaction_binary,20.0,1.368447415413284,-0.8032931652764405,0.5651542501368435,332,969,1,1,14.258164930577715
interaction_binary,20.0,2.1010841325091643,-0.37364488458687317,1.727439247922291,317,963,1,2,13.801122055634776
sinusoidal_binary,0.0,0.42925280513425546,0.008438969952030417,0.4376917750862859,245,1043,1,0,0.04463885266452334
sinusoidal_binary,0.0,0.47068885591860715,0.030349135013905848,0.501037990932513,253,997,1,1,0.040180110601049535
sinusoidal_binary,0.0,0.4255152666949941,0.0876481738673312,0.5131634405623253,261,985,1,2,0.0494868513221758
sinusoidal_binary,1.0,0.3395446225857248,0.002956325879664934,0.34250094846538975,382,1043,1,0,0.6976164934991992
sinusoidal_binary,1.0,0.33824153200466445,0.04341614621393153,0.381657678218596,396,997,1,1,0.7575207287234579
sinusoidal_binary,1.0,0.3129794957376619,0.10830412811274798,0.42128362385040985,395,985,1,2,0.7626996580731897
sinusoidal_binary,2.0,0.2852081765762623,-0.009416339587477007,0.2757918369887853,450,1043,1,0,1.415654384979171
sinusoidal_binary,2.0,0.2541401834302343,-0.009558202239827507,0.2445819811904068,469,997,1,1,1.4748613468458667
sinusoidal_binary,2.0,0.2534418616800019,0.04263823798338212,0.296080099663384,464,985,1,2,1.4759124648242024
sinusoidal_binary,3.0,0.3314411912383969,-0.029372311436567766,0.3020688798018291,475,1043,1,0,2.13369227645914
sinusoidal_binary,3.0,0.34305564323363763,-0.12917105252942299,0.21388459070421464,480,997,1,1,2.192201964968273
sinusoidal_binary,3.0,0.32045600509881617,-0.09474428861455947,0.2257117164842567,474,985,1,2,2.189125271575216
sinusoidal_binary,5.0,0.36977491244995225,-0.04850451295539232,0.32127039949455993,482,1043,1,0,3.5697680594190833
sinusoidal_binary,5.0,0.15879999858092578,-0.07890905480684872,0.07989094377407706,492,997,1,1,3.6268832012130954
sinusoidal_binary,5.0,0.3138295206871172,-0.1783446170942944,0.13548490359282284,483,985,1,2,3.615550885077244
sinusoidal_binary,7.0,0.025149960154711513,-0.00311719460455636,0.022032765550155153,499,1043,1,0,5.005843842379024
sinusoidal_binary,7.0,1.2972952693197756e-06,0.001511106310121955,0.0015124036053912747,500,997,1,1,5.061564437457911
sinusoidal_binary,7.0,0.092209113256362,-0.05400783731773715,0.038201275938624844,496,985,1,2,5.041976498579274
sinusoidal_binary,10.0,2.1009799087012e-09,2.8675550762166172e-08,3.077653067086737e-08,500,1043,1,0,7.1599575168189435
sinusoidal_binary,10.0,1.5718375814317537e-09,9.215215869293316e-05,9.215373053051459e-05,500,997,1,1,7.213586291825135
sinusoidal_binary,10.0,1.8001184849469053e-09,0.001066415774798793,0.0010664175749172781,500,985,1,2,7.181614918832308
sinusoidal_binary,15.0,2.4849011737171865e-14,2.8961637533341524e-12,2.9210127650713243e-12,500,1043,1,0,10.750146974218799
sinusoidal_binary,15.0,2.186140157789813e-14,8.744519683291422e-07,8.744519901905437e-07,500,997,1,1,10.800289382437171
sinusoidal_binary,15.0,2.393907294618267e-14,3.4738309775785595e-05,3.473830979972467e-05,500,985,1,2,10.747678952587377
sinusoidal_binary,20.0,9.992007221626413e-16,1.234568003383182e-16,1.1226575225009595e-15,500,1043,1,0,14.340336431618658
