activation,alpha,dgp,drift_target,drift_z,hidden,mlp_excess_harm,mlp_test_r2,phase,ridge_test_r2,seed
identity,0.0001,linear,dominant,10.0,"(32, 16)",-0.000254631848628728,0.9888955361710104,1,0.9886409043223817,0
identity,0.0001,linear,dominant,10.0,"(32, 16)",0.003974544121808976,0.98589068192776,1,0.989865226049569,1
identity,0.0001,linear,dominant,10.0,"(32, 16)",-0.00016381875550586233,0.9910919267872509,1,0.990928108031745,2
identity,0.0001,linear,dominant,10.0,"(32, 16)",0.00823063038772176,0.9809848644439757,1,0.9892154948316975,3
identity,0.0001,linear,dominant,10.0,"(32, 16)",0.00976756500173026,0.9792713365169983,1,0.9890389015187285,4
identity,0.0001,linear,dominant,10.0,"(32, 16)",7.41403086222947e-05,0.9906126755777984,1,0.9906868158864207,5
identity,0.0001,linear,dominant,10.0,"(32, 16)",0.0003777684578221141,0.989237529814926,1,0.9896152982727481,6
identity,0.0001,linear,dominant,10.0,"(32, 16)",0.0021185889303223515,0.9889255067377949,1,0.9910440956681172,7
identity,0.0001,linear,dominant,10.0,"(32, 16)",0.00022611046418496983,0.9894359817225055,1,0.9896620921866904,8
identity,0.0001,linear,dominant,10.0,"(32, 16)",0.0010526188142157,0.9883029521496213,1,0.989355570963837,9
identity,0.0001,linear,dominant,10.0,"(32, 16)",6.438254271068367e-05,0.9902226665654907,1,0.9902870491082014,10
identity,0.0001,linear,dominant,10.0,"(32, 16)",3.562393644362949e-05,0.9902837007537867,1,0.9903193246902303,11
identity,0.0001,linear,dominant,10.0,"(32, 16)",-0.00013024270147099504,0.9887337614685743,1,0.9886035187671033,12
identity,0.0001,linear,dominant,10.0,"(32, 16)",0.00023105899939990238,0.9883782469081928,1,0.9886093059075927,13
identity,0.0001,linear,dominant,10.0,"(32, 16)",-3.128674761099237e-05,0.9899946411212127,1,0.9899633543736017,14
relu,0.0001,linear,dominant,10.0,"(16,)",7.579252150681324,-6.589748386247966,1,0.9895037644333572,0
relu,0.0001,linear,dominant,10.0,"(16,)",9.708249834487438,-8.72056165023786,1,0.9876881842495769,1
relu,0.0001,linear,dominant,10.0,"(16,)",8.115017742962468,-7.125451054978974,1,0.9895666879834942,2
relu,0.0001,linear,dominant,10.0,"(16,)",7.490748202472997,-6.502449635965662,1,0.9882985665073357,3
relu,0.0001,linear,dominant,10.0,"(16,)",9.354467448465423,-8.364974297202059,1,0.9894931512633648,4
relu,0.0001,linear,dominant,10.0,"(16,)",11.189443257381653,-10.202846575872874,1,0.9865966815087784,5
relu,0.0001,linear,dominant,10.0,"(16,)",8.479320227180809,-7.4892636423787184,1,0.9900565848020896,6
relu,0.0001,linear,dominant,10.0,"(16,)",10.896169669259681,-9.90592766857206,1,0.9902420006876202,7
relu,0.0001,linear,dominant,10.0,"(16,)",14.86927822334437,-13.879702939201811,1,0.9895752841425589,8
relu,0.0001,linear,dominant,10.0,"(16,)",10.846424818988293,-9.861718360145034,1,0.9847064588432596,9
relu,0.0001,linear,dominant,10.0,"(16,)",12.060804733956477,-11.071492342514077,1,0.9893123914424002,10
relu,0.0001,linear,dominant,10.0,"(16,)",9.785423982714544,-8.79614972880063,1,0.9892742539139135,11
relu,0.0001,linear,dominant,10.0,"(16,)",7.381633329662384,-6.392232424749778,1,0.9894009049126058,12
relu,0.0001,linear,dominant,10.0,"(16,)",9.502392072392267,-8.513115614640041,1,0.9892764577522253,13
relu,0.0001,linear,dominant,10.0,"(16,)",8.307860150417422,-7.3196004130541095,1,0.9882597373633125,14
tanh,0.0001,linear,dominant,10.0,"(16,)",67.52129253200106,-66.53014123872542,1,0.9911512932756329,0
tanh,0.0001,linear,dominant,10.0,"(16,)",69.88567520552141,-68.89627092425481,1,0.9894042812665994,1
tanh,0.0001,linear,dominant,10.0,"(16,)",63.56763581655882,-62.57700277565947,1,0.9906330408993484,2
tanh,0.0001,linear,dominant,10.0,"(16,)",60.65969536629725,-59.66917240857376,1,0.9905229577234894,3
tanh,0.0001,linear,dominant,10.0,"(16,)",68.01517953418357,-67.02587676636922,1,0.9893027678143546,4
tanh,0.0001,linear,dominant,10.0,"(16,)",75.22566203769549,-74.23637773024886,1,0.9892843074466243,5
tanh,0.0001,linear,dominant,10.0,"(16,)",72.90856353167999,-71.91843939811646,1,0.9901241335635294,6
tanh,0.0001,linear,dominant,10.0,"(16,)",68.9750271522834,-67.98442982416937,1,0.9905973281140417,7
tanh,0.0001,linear,dominant,10.0,"(16,)",66.9357788142738,-65.9463610063815,1,0.9894178078923105,8
tanh,0.0001,linear,dominant,10.0,"(16,)",68.99978474371385,-68.01024817203225,1,0.9895365716815999,9
